id,period,denomination,nomismaID,dbpediaID,bmID,rarity,description,weight,diameter,thickness,design,obverse,notes,old_material,material,valid,created,createdBy,updated,updatedBy
27,21,Argenteus,,,,,,,,,,,,Silver,22,1,1998-09-28 00:00:00,,2007-01-09 15:39:56,
17,21,As,as,,,,,,,,,,,Copper alloy,7,1,1998-09-28 00:00:00,,2007-01-09 15:40:03,
192,21,As (Roman Republic),,,,,Awaiting description,,,,,,,Copper alloy,7,1,2007-01-16 16:26:30,56,2009-09-08 23:40:00,56
32,21,Aureus (Republic/Empire),aureus,,,"Rare, but 1st to 2nd century AD most common.","<p>The aureus (pl. aurei) was a gold coin of ancient Rome valued at 25 silver denarii. The aureus was regularly issued from the 1st century BC to the beginning of the 4th century AD, when it was replaced by the solidus. The aureus is approximately the same size as the denarius, but is heavier due to the higher density of gold.</p><p>Gold (Roman gold is a rich yellow rather than a pale yellow).</p>",,19,3,High relief.,Laureate or bare-headed,,Gold,23,1,1998-09-28 00:00:00,56,2008-09-23 14:12:41,56
25,21,Denarius (Empire),denarius,,,,,,,,,,,Silver,22,1,1998-09-28 00:00:00,,2008-11-13 17:46:45,
188,21,Denarius (Roman Republic),,,,,,,,,,,,Silver,22,1,2007-01-11 14:20:10,56,2010-03-24 15:17:10,56
179,21,Denarius serratus (Roman Republic),denarius_serratus,,,,,,,,,,,Silver,22,1,2007-01-09 15:30:27,56,2007-01-11 14:01:53,56
1043,21,Double sestertius,,,,,,0,0,0,,,,,7,1,2014-12-10 15:05:25,528,,
18,21,Dupondius,dupondius,,,,,,,,,,,Copper alloy,7,1,1998-09-28 00:00:00,,2007-01-09 15:38:31,
167,21,Dupondius or as,,,,,,,,,,,,Copper Alloy,7,1,0000-00-00 00:00:00,56,2007-01-09 15:38:46,56
187,21,Half-siliqua,,,,,,,,,,,,Silver,22,1,2007-01-11 14:06:16,56,2007-01-11 14:06:16,
191,21,Medallion,,,,,,,,,,,,,,1,2007-01-16 15:35:35,56,2007-01-16 15:35:35,
30,21,Miliarensis,,,,,,,,,,,,Silver,22,1,1998-09-28 00:00:00,,2007-01-11 14:19:13,
20,21,Nummus (AE 1 - AE 4),nummus,,,,,,,,,,,Copper Alloy,7,1,2004-01-28 14:35:20,56,2008-10-21 15:03:25,56
173,21,Q radiate,,,,,,,,,,,,copper alloy,22,1,2004-12-23 16:25:15,56,2004-12-23 16:25:34,56
15,21,Quadrans,quadrans,,,,,,,,,,,Copper alloy,7,1,1998-09-28 00:00:00,,2013-04-15 11:47:30,56
186,21,Quadrans (Roman Republic),quadrans,,,,,,,,,,,Copper Alloy,7,1,2007-01-11 14:04:21,56,2007-01-11 14:04:21,
24,21,Quinarius,quinarius,,,,,,,,,,,Silver,22,1,1998-09-28 00:00:00,,2013-12-19 14:07:56,491
26,21,Radiate (antoninianus),,,,,,,,,,,,Base Silver,31,1,1998-09-28 00:00:00,,2007-01-09 15:41:12,
169,21,Radiate or nummus,,,,,,,,,,,,Copper Alloy,7,1,2004-11-03 14:26:40,56,2007-01-09 15:41:26,56
16,21,Semis,semis,,,,,,,,,,,Copper alloy,7,1,1998-09-28 00:00:00,,2007-01-09 15:30:50,
193,21,Semis (Roman Republic),,,,,,,,,,,,,,1,2007-01-16 16:27:21,56,2007-01-16 16:27:21,
555,21,Semissis,,,,,,,,,,,,,23,1,2010-09-23 15:11:50,56,,
