id,name,viaf,bmID,dbpediaID,wikipediaEntry,nomismaID,period,alt_name,date_1,date_2,mint,bio,RRC,appear,valid,created,createdBy,updated,updatedBy
1,"Cornelius Lentulus, Lucius.",,174694,,Lucius Cornelius Lentulus,c_rrc,21,,-211,,,"Sardinia,Republican moneyer who was Praetor in 211 BC.",63,C,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
2,"Manlius Vulso, P.",,174696,,,ma_rrc,21,,-210,,,"Sardinia,Republican moneyer who was Praetor in 210 BC.",64,M or MA,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
3,"Aurunculeius, C.",,174699,,,avr_rrc,21,,-209,,,"Sardinia,Republican moneyer and Praetor of Sardinia in",65,AVR,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
4,"(Terentius) Varro, C.",,174132,,,c_var_rrc,21,,-209,-208,Sicily mint 2,"Republican moneyer, possibly a younger relative of the C. Terentius Varro who was Consul in 216 BC.",74,C.VAR,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
5,"Aelius, C.",,174133,,,c_al_rrc,21,,-209,-208,Sicily mint 2,"Republican moneyer, known only from his coins.",75,C·AL (AL ligatured),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
6,"Cornelius Dolabella, Cn.",,,,,cn_co_rrc,21,,-211,-209,Sicily (possibly),"Republican moneyer, probably the Cn. Cornelius Dolabella who was Rex Sacrorum 208-180 BC.",81,CN·CO,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
7,Aelius,,174353,,,al_rrc,21,,-211,-208,uncertain,"Republican moneyer, known only from his coins.",111,AL (ligatured),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
8,"L[utatius] C[erco] / C[atulus], Q.",,97152,,,qlc_rrc,21,,-206,-200,Uncertain,"Republican moneyer, known only from his coins.",125,QLC,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
9,(Terentius) Var[ro],,174395,,,var_rrc,21,,-206,-200,uncertain,"Republican moneyer, possibly the A. Terentius Varro who was Praetor in 184 BC.",126,VAR,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
10,(Caecilius) Metellus,,174406,,,me_rrc,21,,-194,-190,Rome,"Republican moneyer, presumably an otherwise unattested cousin of the Q. Caecilius Metellus Macedonicus who was Consul in 143 BC.",132,ME (ligatured),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
11,(Baebius) Tampilus,,174407,,,tamp_rrc,21,,-194,-190,Rome,"Republican moneyer, presumably either the Cn. Baebius Tampilus who was Praetor in 168, or his cousin, M. Baebius Tampilus, who was Consul in 181 BC. ",133,TAMP as monogram,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
12,"Pl[autius] H[ypsaeus], L.",,174417,,,l_pl_h_rrc,21,,-194,-190,Rome,"Republican moneyer, possibly the son of the L. Plautius Hypsaeus who was Praetor in 189 BC.",134,L PL H as monogram,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
13,"Maenius, P.",,174428,,,p_mae_rrc,21,,-194,-190,Rome,"Republican moneyer, possibly the grandfather of the P. Maenius Ant[ias] M.f (q.v.) who issued coins in 132 BC. He may also related to the Q. Maenius who was Praetor in 186, or a variety of other praetors from the Maenii.",138,P·MAE (MAE ligatured),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
