id,type,translation,description,gendate,reeceID,common,created,createdBy,updated,updatedBy,period_name,date_range,i
84,PRINCIPI IVVENTVTIS,,"Prince standing facing, left or right, holding two standards",circa 307-17,15,1,2008-10-02 15:34:29,56,0000-00-00 00:00:00,56,Period 15,296-317,15
1,GENIO POPVLI ROMANI,To the spirit of the Roman People,"Genius standing left, holding patera and cornucopiae; sometimes altar to left",circa 294-313,15,1,2008-10-02 15:34:29,56,2013-02-01 15:21:18,56,Period 15,296-317,15
356,CLARITAS REI PVBLICAE,,"Sol standing left, holding globe and raising hand",317-8,15,1,2008-10-02 15:34:29,56,0000-00-00 00:00:00,56,Period 15,296-317,15
333,CLARITAS REI PVBLICAE,,"Sol advancing left, holding whip",316-8,15,1,2008-10-02 15:34:29,56,0000-00-00 00:00:00,56,Period 15,296-317,15
313,MARTI CONSERVATORI,,"Mars standing right, holding reversed spear and shield",313-6,15,1,2008-10-02 15:34:29,56,0000-00-00 00:00:00,56,Period 15,296-317,15
253,SOLI INVICTO COMITI,,Bust of Sol right,310-313,15,1,2008-10-02 15:34:29,56,0000-00-00 00:00:00,56,Period 15,296-317,15
240,SOLI INVICTO COMITI,,"Sol standing right, holding whip and globe",310-18,15,1,2008-10-02 15:34:29,56,0000-00-00 00:00:00,56,Period 15,296-317,15
239,SOLI INVICTO COMITI,,"Sol standing right, holding whip",310-18,15,1,2008-10-02 15:34:29,56,0000-00-00 00:00:00,56,Period 15,296-317,15
238,SOLI INVICTO COMITI,,"Sol standing right, holding globe",310-18,15,1,2008-10-02 15:34:29,56,0000-00-00 00:00:00,56,Period 15,296-317,15
236,SOLI INVICTO COMITI,,"Sol standing left, holding whip",310-18,15,1,2008-10-02 15:34:29,56,0000-00-00 00:00:00,56,Period 15,296-317,15
235,SOLI INVICTO COMITI,,"Sol standing left, holding globe",310-19,15,1,2008-10-02 15:34:29,56,0000-00-00 00:00:00,56,Period 15,296-317,15
234,MARTI CONSERVATORI,,"Mars standing facing, right (or left), holding spear and resting shield on ground",310-16,15,1,2008-10-02 15:34:29,56,0000-00-00 00:00:00,56,Period 15,296-317,15
185,AETERNITAS AVG N,,"Castor and Pollux, standing , holding sceptres and horses by bridle",309-12,15,1,2008-10-02 15:34:29,56,0000-00-00 00:00:00,56,Period 15,296-317,15
